,label,article
1809,Genital herpes,"Cirrhosis, also known as liver cirrhosis or hepatic cirrhosis, and end-stage liver disease, is the impaired liver function caused by the formation of scar tissue known as fibrosis, due to damage caused by liver disease. Damage causes tissue repair and subsequent formation of scar tissue, which over time can replace normal functioning tissue leading to the impaired liver function of cirrhosis. The disease typically develops slowly over months or years. Early symptoms may include tiredness, weakness, loss of appetite, unexplained weight loss, nausea and vomiting, and discomfort in the right upper quadrant of the abdomen. As the disease worsens, symptoms may include itchiness, swelling in the lower legs, fluid build-up in the abdomen,  jaundice, bruising easily, and the development of spider-like blood vessels in the skin. The fluid build-up in the abdomen may become spontaneously infected. More serious complications include hepatic encephalopathy, bleeding from dilated veins in the esophagus, stomach, or intestines, and liver cancer.Cirrhosis is most commonly caused by alcoholic liver disease, non-alcoholic steatohepatitis (NASH) – (the progressive form of non-alcoholic fatty liver disease), chronic hepatitis B, and chronic hepatitis C. Heavy drinking over a number of years can cause alcoholic liver disease. NASH has a number of causes, including obesity, high blood pressure, abnormal levels of cholesterol, type 2 diabetes, and metabolic syndrome. Less common causes of cirrhosis include autoimmune hepatitis, primary biliary cholangitis, and primary sclerosing cholangitis that disrupts bile duct function, genetic disorders such as Wilson's disease and hereditary hemochromatosis, and chronic heart failure with liver congestion.Diagnosis is based on blood tests, medical imaging, and liver biopsy.Hepatitis B vaccine can prevent hepatitis B and the development of cirrhosis, but  no vaccination against hepatitis C is available. No specific treatment for cirrhosis is known, but many of the underlying causes may be treated by a number of medications that may slow or prevent worsening of the condition. Avoiding alcohol is recommended in all cases. Hepatitis B and C may be treatable with antiviral medications. Autoimmune hepatitis may be treated with steroid medications. Ursodiol may be useful if the disease is due to blockage of the bile duct. Other medications may be useful for complications such as abdominal or leg swelling, hepatic encephalopathy, and dilated esophageal veins. If cirrhosis leads to liver failure a liver transplant may be an option.Cirrhosis affected about 2.8 million people and resulted in 1.3 million deaths in 2015. Of these deaths, alcohol caused 348,000, hepatitis C caused 326,000, and hepatitis B caused 371,000. In the United States, more men die of cirrhosis than women. The first known description of the condition is by Hippocrates in the fifth century BCE. The term ""cirrhosis"" was invented in 1819, from a Greek word for the yellowish color of a diseased liver."
1810,Health system,"Psoriatic arthritis is a long-term inflammatory arthritis that occurs in people affected by the autoimmune disease psoriasis. The classic feature of psoriatic arthritis is swelling of entire fingers and toes with a sausage-like appearance. This often happens in association with changes to the nails such as small depressions in the nail (pitting), thickening of the nails, and detachment of the nail from the nailbed. Skin changes consistent with psoriasis (e.g., red, scaly, and itchy plaques) frequently occur before the onset of psoriatic arthritis but psoriatic arthritis can precede the rash in 15% of affected individuals.   It is classified as a type of seronegative spondyloarthropathy.
Genetics are thought to be strongly involved in the development of psoriatic arthritis. Obesity and certain forms of psoriasis are thought to increase the risk.Psoriatic arthritis affects up to 30% of people with psoriasis and occurs in both children and adults. Approximately 40–50% of individuals with psoriatic arthritis have the HLA-B27 genotype. The condition is less common in people of Asian or African descent and affects men and women equally."
1811,Poverty in Singapore,"Social conflict is the struggle for agency or power in society.
Social conflict occurs when two or more actors oppose each other in social interaction, each exerts social power with reciprocity in an effort to achieve incompatible goals whilst preventing the other from attaining their own. It is a social relationship wherein action is intentionally oriented to carry out the actor's own will despite the resistance of others."
1812,Macronutrients,"Glassblower's cataracts are a form of cataract due to an occupational exposure. They are formed by many years or decades of exposure to infrared radiation while working in the occupation of glass blowing, or working close to hot or molten metals such with metal foundry workers or blacksmiths.  Glassblower's cataracts are due to chronic exposure to infrared radiation emitted due to the extreme heating of glass or molten metal. The infrared radiation is absorbed by the iris and lens of the eye. This causes cataracts after decades of exposure.  This condition may be prevented by wearing protective glasses while practicing these occupations."
1813,Guinea worm,"An academic degree is a qualification awarded to students upon successful completion of a course of study in higher education, usually at a college or university. These institutions commonly offer degrees at various levels, usually including bachelor's, master's and doctorates, often alongside other academic certificates and professional degrees. The most common undergraduate degree is the bachelor's degree, although in some countries there are lower level higher education qualifications that are also titled degrees (e.g. associate degrees and foundation degrees) and higher level (e.g. undergraduate master's degrees)."
1814,Sanitation,"The COVID-19 pandemic in Qatar is part of the worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first case in Qatar was confirmed on 27 February 2020.As of 19 August 2021, there are 2,752 active cases under treatment. A total of 2,432,003 people have been tested in the country.The reported number of deaths in Qatar has been low relative to the number of reported cases, which may be in part due to the country's adequate healthcare system and the fact that a high proportion of residents are young and healthy."
1815,Mosquito,"Public health nursing, also known as community health nursing is a nursing specialty focused on public health.  The term was coined by Lillian Wald of the Henry Street Settlement, or, Public health nurses (PHNs) or community health nurses ""integrate community involvement and knowledge about the entire population with personal, clinical understandings of the health and illness experiences of individuals and families within the population.""  Public health nursing in the United States traces back to a nurse named Lillian Wald who, in 1893, established the Henry Street Settlement in New York City and coined the expression ""public health nurse"".
A Public or Community Health Nurse is expected to comply with the duties and limitations of the American Nurse Association (ANA) publication Public Health Nursing: Scope and Standards of Practice.Public health nurses work within communities and focus on different areas to improve the overall health of the people within that community. Some areas of employment for public health nurses are school districts, county or state health departments, and departments of correction. The public health nurse looks for areas of concern within the community and assesses and plans ways through which the concerns can be resolved or minimized. Some health concerns a public health nurse may work on are infection control, health maintenance, health coaching, as well as home care visits for welfare and to provide care to certain members of the community who may need it. The Centers for Disease Control and Prevention is a leading health indicator in preventing morbidity and mortality. Clinical preventative services such as immunizations and routine screenings for colorectal cancer, blood pressure control and diabetes management are key to improving the Nation’s health.Public health nursing focuses on betterment of the community as a whole. Public health nursing is used to promote and protect the population through knowledge of caring for patients at the bedside, in the community, and through social aspects. The public health nurse must assess the needs of the population and limitations to care. Interventions then must be planned and put into place to produce the best possible outcome for the patient. The community health nurse then evaluates effectiveness of the plan while making changes. In combination, this allows the community health nurse to incorporate the community with the health of the patient.

"
1816,Public health in Honduras,"Right-libertarianism, also known as libertarian capitalism or right-wing libertarianism, is a political philosophy and type of libertarianism that supports capitalist property rights and defends market distribution of natural resources and private property. The term right-libertarianism is used to distinguish this class of views on the nature of property and capital from left-libertarianism, a type of libertarianism that combines self-ownership with an egalitarian approach to natural resources. In contrast to socialist libertarianism, right-libertarianism supports free-market capitalism. Like most forms of libertarianism, it supports civil liberties, especially natural law, negative rights and a major reversal of the modern welfare state.Right-libertarian political thought is characterized by the strict priority given to liberty, with the need to maximize the realm of individual freedom and minimize the scope of public authority. Right-libertarians typically see the state as the principal threat to liberty. This anti-statism differs from anarchist doctrines in that it is based upon an uncompromising individualism that places little or no emphasis upon human sociability or cooperation. Right-libertarian philosophy is also rooted in the ideas of individual rights and laissez-faire economics. The right-libertarian theory of individual rights generally follow the homestead principle and the labor theory of property, stressing self-ownership and that people have an absolute right to the property that their labor produces. Economically, right-libertarians make no distinction between capitalism and free markets and view any attempt to dictate the market process as counterproductive, emphasizing the mechanisms and self-regulating nature of the market whilst portraying government intervention and attempts to redistribute wealth as invariably unnecessary and counter-productive. Although all right-libertarians oppose government intervention, there is a division between anarcho-capitalists, who view the state as an unnecessary evil and want property rights protected without statutory law through market-generated tort, contract and property law; and minarchists, who support the need for a minimal state, often referred to as a night-watchman state, to provide its citizens with courts, military and police.While influenced by classical liberal thought, with some viewing right-libertarianism as an outgrowth or as a variant of it, there are significant differences. Edwin Van de Haar argues that ""confusingly, in the United States the term libertarianism is sometimes also used for or by classical liberals. But this erroneously masks the differences between them"". Classical liberalism refuses to give priority to liberty over order and therefore does not exhibit the hostility to the state which is the defining feature of libertarianism. As such, right-libertarians believe classical liberals favor too much state involvement, arguing that they do not have enough respect for individual property rights and lack sufficient trust in the workings of the free market and its spontaneous order leading to support of a much larger state. Right-libertarians also disagree with classical liberals as being too supportive of central banks and monetarist policies.Like libertarians of all varieties, right-libertarians refer to themselves simply as libertarians. Being the most common type of libertarianism in the United States, right-libertarianism has become the most common referent of libertarianism there since the late 20th century while historically and elsewhere it continues to be widely used to refer to anti-state forms of socialism such as anarchism and more generally libertarian communism/libertarian Marxism and libertarian socialism. Around the time of Murray Rothbard, who popularized the term libertarian in the United States during the 1960s, anarcho-capitalist movements started calling themselves libertarian, leading to the rise of the term right-libertarian to distinguish them. Rothbard himself acknowledged the co-opting of the term and boasted of its ""capture [...] from the enemy"". Criticism of right-libertarianism includes ethical, economic, environmental, pragmatic and philosophical concerns, including the view that it has no explicit theory of liberty. It has been argued that laissez-faire capitalism does not necessarily produce the best or most efficient outcome, nor does its philosophy of individualism and policies of deregulation prevent the abuse of natural resources.

"
1817,Chagas Disease,"Smoking cessation, usually called quitting smoking or stopping smoking, is the process of discontinuing tobacco smoking. Tobacco smoke contains nicotine, which is addictive and can cause dependence. Nicotine withdrawal often makes the process of quitting difficult.In the US, about 70% of smokers would like to quit smoking, and 50% report having made an attempt to do so in the past year. Smoking is the leading preventable cause of death worldwide. Tobacco cessation significantly reduces the risk of dying from tobacco-related diseases such as coronary heart disease, chronic obstructive pulmonary disease (COPD), and lung cancer. Due to its link to many chronic diseases, cigarette smoking has been restricted in many public areas.
Many strategies can be used for smoking cessation, including abruptly quitting without assistance (""cold turkey""), cutting down then quitting, behavioral counseling, and medications such as bupropion, cytisine, nicotine replacement therapy, or varenicline. Most smokers who try to quit do so without assistance. However, only 3-6% of quit attempts without assistance are successful long-term. Behavioral counseling and medications each increase the rate of successfully quitting smoking, and a combination of behavioral counseling with a medication such as bupropion is more effective than either intervention alone. A meta-analysis from 2018, conducted on 61 randomized controlled trials, showed that among people who quit smoking with a cessation medication (and some behavioral help), approximately 20% were still quit a year later, as compared to 12% who did not take medication.
In nicotine-dependent smokers, quitting smoking can lead to symptoms of nicotine withdrawal such as nicotine cravings, anxiety, irritability, depression, and weight gain. Professional smoking cessation support methods generally attempt to address nicotine withdrawal symptoms to help the person break free of nicotine addiction."
1818,Muslim world,"An economist is a practitioner in the social science discipline of economics.
The individual may also study, develop, and apply theories and concepts from economics and write about economic policy. Within this field there are many sub-fields, ranging from the broad philosophical theories to the focused study of minutiae within specific markets, macroeconomic analysis, microeconomic analysis or financial statement analysis, involving analytical methods and tools such as econometrics, statistics, economics computational models, financial economics, mathematical finance and mathematical economics."
1819,Shingles,The COVID-19 pandemic in Zambia is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The virus was confirmed to have reached Zambia in March 2020.
1820,Non-governmental organizations,"Drinking water, also known as potable water, is water that is safe to drink or use for food preparation. The amount of drinking water required to maintain good health varies, and depends on physical activity level, age, health-related issues, and environmental conditions. For those who work in a hot climate, up to 16 litres (4.2 US gal) a day may be required.Typically in developed countries, tap water meets drinking water quality standards, even though only a small proportion is actually consumed or used in food preparation. Other typical uses include washing, toilets, and irrigation. Greywater may also be used for toilets or irrigation. Its use for irrigation however may be associated with risks. Water may also be unacceptable due to levels of toxins or suspended solids.
Globally, by 2015, 89% of people had access to water from a source that is suitable for drinking – called improved water source. In Sub-Saharan Africa, access to potable water ranged from 40% to 80% of the population. Nearly 4.2 billion people worldwide had access to tap water, while another 2.4 billion had access to wells or public taps. The World Health Organization considers access to safe drinking-water a basic human right.
About 1 to 2 billion people lack safe drinking water. More people die from unsafe water than from war, then-U.N. Secretary-General Ban Ki-moon said in 2010."
1821,Idiopathic pulmonary fibrosis,"Public health has been defined as ""the science and art of preventing disease”, prolonging life and improving quality of life through organized efforts and informed choices of society, organizations (public and private), communities and individuals. Analyzing the determinants of health of a population and the threats it faces is the basis for public health. The public can be as small as a handful of people or as large as a village or an entire city; in the case of a pandemic it may encompass several continents. The concept of health takes into account physical, psychological, and social well-being.Public health is an interdisciplinary field. For example, epidemiology, biostatistics, social sciences and management of health services are all relevant. Other important sub-fields include environmental health, community health, behavioral health, health economics, public policy, mental health, health education, health politics, occupational safety, disability, gender issues in health, and sexual and reproductive health. Public health, together with primary care, secondary care, and tertiary care, is part of a country's overall health care system. Public health is implemented through the surveillance of cases and health indicators, and through the promotion of healthy behaviors. Common public health initiatives include promotion of hand-washing and breastfeeding, delivery of vaccinations, suicide prevention, smoking cessation, obesity education, increasing healthcare accessibility and distribution of condoms to control the spread of sexually transmitted diseases. 
There is a significant disparity in access to health care and public health initiatives between developed countries and developing countries, as well as within developing countries. In developing countries, public health infrastructures are still forming. There may not be enough trained health workers, monetary resources or, in some cases, sufficient knowledge to provide even a basic level of medical care and disease prevention. A major public health concern in developing countries is poor maternal and child health, exacerbated by malnutrition and poverty. 
From the beginnings of human civilization, communities promoted health and fought disease at the population level. In complex, pre-industrialized societies, interventions designed to reduce health risks could be the initiative of different stakeholders, such as army generals, the clergy or rulers. Great Britain became a leader in the development of public health initiatives, beginning in the 19th century, due to the fact that it was the first modern urban nation worldwide. The public health initiatives that began to emerge initially focused on sanitation (for example, the Liverpool and London sewerage systems), control of infectious diseases (including vaccination, quarantine) and an evolving infrastructure of various sciences, e.g. statistics, microbiology, epidemiology, sciences of engineering."
1822,Smallpox,"Echinococcosis is a parasitic disease of tapeworms of the Echinococcus type. The two main types of the disease are cystic echinococcosis and alveolar echinococcosis. Less common forms include polycystic echinococcosis and unicystic echinococcosis.The disease often starts without symptoms and this may last for years. The symptoms and signs that occur depend on the cyst's location and size. Alveolar disease usually begins in the liver, but can spread to other parts of the body, such as the lungs or brain. When the liver is affected, the patient may experience abdominal pain, weight loss, along with yellow-toned skin discoloration from developed jaundice. Lung disease may cause pain in the chest, shortness of breath, and coughing.The infection is spread when food or water that contains the eggs of the parasite is ingested or by close contact with an infected animal. The eggs are released in the stool of meat-eating animals that are infected by the parasite. Commonly infected animals include dogs, foxes, and wolves. For these animals to become infected they must eat the organs of an animal that contains the cysts such as sheep or rodents. The type of disease that occurs in human patients depends on the type of Echinococcus causing the infection. Diagnosis is usually by ultrasound though computer tomography (CT) or magnetic resonance imaging (MRI) may also be used. Blood tests looking for antibodies against the parasite may be helpful as may biopsy.Prevention of cystic disease is by treating dogs that may carry the disease and vaccination of sheep. Treatment is often difficult. The cystic disease may be drained through the skin, followed by medication. Sometimes this type of disease is just watched. The alveolar  form often requires surgical intervention, followed by medications. The medication used is albendazole, which may be needed for years. The alveolar  disease may result in death.The disease occurs in most areas of the world and currently affects about one million people. In some areas of South America, Africa, and Asia, up to 10% of the certain populations are affected. In 2015, the cystic form caused about 1,200 deaths; down from 2000 in 1990. The economic cost of the disease is estimated to be around US$3 billion a year. It is classified as a neglected tropical disease (NTD) and belongs to the group of diseases known as helminthiases (worm infections). It can affect other animals such as pigs, cows and horses.Terminology used in this field is crucial, since echinococcosis requires the involvement of specialists from nearly all disciplines. In 2020, an international effort of scientists, from 16 countries, lead to a detailed consensus on terms to be used or rejected for the genetics, epidemiology, biology, immunology and clinical aspects of echinococcosis."
1823,Vaccination,"Lead poisoning, also known as plumbism and saturnism, is a type of metal poisoning caused by lead in the body. The brain is the most sensitive. Symptoms may include abdominal pain, constipation, headaches, irritability, memory problems, infertility, and tingling in the hands and feet. It causes almost 10% of intellectual disability of otherwise unknown cause and can result in behavioral problems. Some of the effects are permanent. In severe cases, anemia, seizures, coma, or death may occur.Exposure to lead can occur by contaminated air, water, dust, food, or consumer products. Children are at greater risk as they are more likely to put objects in their mouth such as those that contain lead paint and absorb a greater proportion of the lead that they eat. Exposure at work is a common cause of lead poisoning in adults with certain occupations at particular risk. Diagnosis is typically by measurement of the blood lead level. The Centers for Disease Control (US) has set the upper limit for blood lead for adults at 10 µg/dl (10 µg/100 g) and for children at 5 µg/dl. Elevated lead may also be detected by changes in red blood cells or dense lines in the bones of children as seen on X-ray.Lead poisoning is preventable. This includes individual efforts such as removing lead-containing items from the home, workplace efforts such as improved ventilation and monitoring, state laws that ban the use of and national policies such as laws that ban lead in products such as paint, gasoline, ammunition, wheel weights, and fishing weights reduce allowable levels in water or soil, and provide for cleanup of contaminated soil. Workers' education could be helpful as well. The major treatments are removal of the source of lead and the use of medications that bind lead so it can be eliminated from the body, known as chelation therapy. Chelation therapy in children is recommended when blood levels are greater than 40–45 µg/dl. Medications used include dimercaprol, edetate calcium disodium, and succimer.
In 2016, lead is believed to have resulted in 540,000 deaths worldwide. It occurs most commonly in the developing world. Those who are poor are at greater risk. Lead is believed to result in 0.6% of the world's disease burden. People have been mining and using lead for thousands of years. Descriptions of lead poisoning date to at least 2000 BC, while efforts to limit lead's use date back to at least the 16th century. Concerns for low levels of exposure begin in the 1970s with there being no safe threshold for lead exposure."
1824,Cirrhosis,"Prostate cancer is cancer of the prostate. The prostate is a gland in the male reproductive system that surrounds the urethra just below the bladder. Most prostate cancers are slow growing. Cancerous cells may spread to other areas of the body, particularly the bones and lymph nodes. It may initially cause no symptoms. In later stages, symptoms include pain or difficulty urinating, blood in the urine, or pain in the pelvis or back. Benign prostatic hyperplasia may produce similar symptoms. Other late symptoms include fatigue, due to low levels of red blood cells.Factors that increase the risk of prostate cancer include older age, family history and race. About 99% of cases occur after age 50. A first-degree relative with the disease increases the risk two- to three-fold. Other factors include a diet high in processed meat and red meat, while the risk from a high intake of milk products is inconclusive. An association with gonorrhea has been found, although no reason for this relationship has been identified. An increased risk is associated with the BRCA mutations. Diagnosis is by biopsy. Medical imaging may be done to assess whether metastasis is present.Prostate cancer screening, including prostate-specific antigen (PSA) testing, increases cancer detection but whether it improves outcomes is controversial. Informed decision making is recommended for those 55 to 69 years old. Testing, if carried out, is more appropriate for those with a longer life expectancy. Although 5α-reductase inhibitors appear to decrease low-grade cancer risk, they do not affect high-grade cancer risk, and are not recommended for prevention. Vitamin or mineral supplementation does not appear to affect risk.Many cases are managed with active surveillance or watchful waiting. Other treatments may include a combination of surgery, radiation therapy, hormone therapy, or chemotherapy. Tumors limited to the prostate may be curable. Pain medications, bisphosphonates, and targeted therapy, among others, may be useful. Outcomes depend on age, health status and how aggressive and extensive the cancer is. Most men with prostate cancer do not die from it. The United States five-year survival rate is 98%.Globally, it is the second-most common cancer. It is the fifth-leading cause of cancer-related death in men. In 2018, it was diagnosed in 1.2 million and caused 359,000 deaths. It was the most common cancer in males in 84 countries, occurring more commonly in the developed world. Rates have been increasing in the developing world. Detection increased significantly in the 1980s and 1990s in many areas due to increased PSA testing. One study reported prostate cancer in 30% to 70% of Russian and Japanese men over age 60 who had died of unrelated causes."
1825,Psoriatic arthritis,"Ascaris is a genus of parasitic nematode worms known as the ""small intestinal roundworms"", which is a type of parasitic worm. One species, Ascaris lumbricoides, affects humans and causes the disease ascariasis. Another species, Ascaris suum, typically infects pigs. Parascaris equorum, the equine roundworm, is also commonly called an ""Ascarid"".Their eggs are deposited in feces and soil. Plants with the eggs on them infect any organism that consumes them. A. lumbricoides is the largest intestinal roundworm and is the most common helminth infection of humans worldwide.  Infestation can cause morbidity by compromising nutritional status, affecting cognitive processes, inducing tissue reactions such as granuloma to larval stages, and by causing intestinal obstruction, which can be fatal."
1826,Social conflict,"Occupational health psychology (OHP) is an interdisciplinary area of psychology that is concerned with the health and safety of workers. OHP addresses a number of major topic areas including the impact of occupational stressors on physical and mental health, the impact of involuntary unemployment on physical and mental health, work-family balance, workplace violence and other forms of mistreatment, accidents and safety, and interventions designed to improve/protect worker health. Although OHP emerged from two distinct disciplines within applied psychology, namely, health psychology and industrial and organizational psychology, for a long time the psychology establishment, including leaders of industrial/organizational psychology, rarely dealt with occupational stress and employee health, creating a need for the emergence of OHP. OHP has also been informed by other disciplines, including occupational medicine, industrial sociology, industrial engineering, and economics, as well as preventive medicine and public health. OHP is thus concerned with the relationship of psychosocial workplace factors to the development, maintenance, and promotion of workers' health and that of their families. The World Health Organization and the International Labour Organization estimate that exposure to long working hours causes an estimated 745,000 workers to die from ischemic heart disease and stroke in 2016, mediated through psychological occupational stress.

"
1827,Glassblower's cataract,"In the past, Kosovo’s capabilities to develop a modern health care system were limited.
Low GDP during 1990 worsened the situation even more. However, the establishment of the Faculty of Medicine in the University of Pristina marked a significant development in health care. This was also followed by launching different health clinics which enabled better conditions for professional development.Nowadays the situation has changed and health care system in Kosovo is organized in three sectors including, primary, secondary and tertiary health care.
Primary health care in Pristina is organized in thirteen Family Medicine Centers and fifteen Ambulantory Care Units. Secondary health care is decentralized in seven Regional Hospitals. Though Pristina does not have a Regional Hospital, it instead uses the University Clinical Center of Kosovo for health care services. The University Clinical Center of Kosovo provides its health care services in twelve clinics, where 642 doctors are employed. At a lower level, home services are provided for several vulnerable groups which are not able to reach health care premises. Kosovo health care services are now focused on patient's safety, quality control and assisted health.Nowadays, health care institutions are going through some profound reforms that target providing decentralized services and covering all community residents by health insurance packages."
1828,University degree,"Epidemiology is the study and analysis of the distribution (who, when, and where), patterns and determinants of health and disease conditions in defined populations.
It is a cornerstone of public health, and shapes policy decisions and evidence-based practice by identifying risk factors for disease and targets for preventive healthcare. Epidemiologists help with study design, collection, and statistical analysis of data, amend interpretation and dissemination of results (including peer review and occasional systematic review).  Epidemiology has helped develop methodology used in clinical research, public health studies, and, to a lesser extent, basic research in the biological sciences.Major areas of epidemiological study include disease causation, transmission, outbreak investigation, disease surveillance, environmental epidemiology, forensic epidemiology, occupational epidemiology, screening, biomonitoring, and comparisons of treatment effects such as in clinical trials. Epidemiologists rely on other scientific disciplines like biology to better understand disease processes, statistics to make efficient use of the data and draw appropriate conclusions, social sciences to better understand proximate and distal causes, and engineering for exposure assessment.
Epidemiology, literally meaning ""the study of what is upon the people"", is derived from Greek  epi 'upon, among',  demos  'people, district', and  logos 'study, word, discourse', suggesting that it applies only to human populations. However, the term is widely used in studies of zoological populations (veterinary epidemiology), although the term ""epizoology"" is available, and it has also been applied to studies of plant populations (botanical or plant disease epidemiology).The distinction between ""epidemic"" and ""endemic"" was first drawn by Hippocrates, to distinguish between diseases that are ""visited upon"" a population (epidemic) from those that ""reside within"" a population (endemic). The term ""epidemiology"" appears to have first been used to describe the study of epidemics in 1802 by the Spanish physician Villalba in Epidemiología Española. Epidemiologists also study the interaction of diseases in a population, a condition known as a syndemic.
The term epidemiology is now widely applied to cover the description and causation of not only epidemic, infectious disease, but of disease in general, including related conditions. Some examples of topics examined through epidemiology include as high blood pressure, mental illness and obesity. Therefore, this epidemiology is based upon how the pattern of the disease causes change in the function of human beings."
1829,Public health in Qatar,"Trichuris trichiura, Trichocephalus trichiuris or whipworm, is a parasitic roundworm (a type of helminth) that causes trichuriasis (a type of helminthiasis which is one of the neglected tropical diseases) when it infects a human large intestine. It is commonly known as the whipworm which refers to the shape of the worm; it looks like a whip with wider ""handles"" at the posterior end."
1830,Public health nursing,"An improved water source (or improved drinking-water source or improved water supply) is a term used to categorize certain types or levels of water supply for monitoring purposes. It is defined as a type of water source that, by nature of its construction or through active intervention, is likely to be protected from outside contamination, in particular from contamination with fecal matter.The term was coined by the Joint Monitoring Program (JMP) for Water Supply and Sanitation of UNICEF and WHO in 2002 to help monitor the progress towards Goal Number 7 of the Millennium Development Goals (MDGs). The opposite of ""improved water source"" has been termed ""unimproved water source"" in the JMP definitions.  
The same terms are used to monitor progress towards Sustainable Development Goal 6 (Target 6.1, Indicator 6.1.1) from 2015 onwards. Here, they are a component of the definition for ""safely managed drinking water service""."
1831,Right-libertarianism,"Pregnancy, also known as gestation, is the time during which one or more offspring develops inside a woman. A multiple pregnancy involves more than one offspring, such as with twins. Pregnancy usually occurs by sexual intercourse, but can also occur through assisted reproductive technology procedures. A pregnancy may end in a live birth, a spontaneous miscarriage, an induced abortion, or a stillbirth. Childbirth typically occurs around 40 weeks from the start of the last menstrual period (LMP). This is just over nine months (gestational age)—where each month averages 31 days. When using fertilization age it is about 38 weeks. An embryo is the developing offspring during the first eight weeks following fertilization, (ten weeks' gestational age) after which, the term fetus is used until birth. Signs and symptoms of early pregnancy may include missed periods, tender breasts, morning sickness (nausea and vomiting), hunger, and frequent urination. Pregnancy may be confirmed with a pregnancy test.Pregnancy is divided into three trimesters, each lasting for approximately 3 months. The first trimester includes conception, which is when the sperm fertilizes the egg. The fertilized egg then travels down the Fallopian tube and attaches to the inside of the uterus, where it begins to form the embryo and placenta. During the first trimester, the possibility of miscarriage (natural death of embryo or fetus) is at its highest. Around the middle of the second trimester, movement of the fetus may be felt. At 28 weeks, more than 90% of babies can survive outside of the uterus if provided with high-quality medical care, though babies born at this time will likely experience serious health complications such as heart and respiratory problems and  long-term intellectual and developmental disabilities.Prenatal care improves pregnancy outcomes. Prenatal care may include taking extra folic acid, avoiding drugs, tobacco smoking, and alcohol, taking regular exercise, having blood tests, and regular physical examinations. Complications of pregnancy may include disorders of high blood pressure, gestational diabetes, iron-deficiency anemia, and severe nausea and vomiting. In the ideal childbirth labor begins on its own when a woman is ""at term"". Babies born before 37 weeks are ""preterm"" and at higher risk of health problems such as cerebral palsy. Babies born between weeks 37 and 39 are considered ""early term"" while those born between weeks 39 and 41 are considered ""full term"". Babies born between weeks 41 and 42 weeks are considered ""late term"" while after 42 weeks they are considered ""post term"". Delivery before 39 weeks by labor induction or caesarean section is not recommended unless required for other medical reasons.About 213 million pregnancies occurred in 2012, of which, 190 million (89%) were in the developing world and 23 million (11%) were in the developed world. The number of pregnancies in women aged between 15 and 44 is 133 per 1,000 women. About 10% to 15% of recognized pregnancies end in miscarriage. In 2016, complications of pregnancy resulted in 230,600 maternal deaths, down from 377,000 deaths in 1990. Common causes include bleeding, infections, hypertensive diseases of pregnancy, obstructed labor, miscarriage, abortion, or ectopic pregnancy. Globally, 44% of pregnancies are unplanned. Over half (56%) of unplanned pregnancies are aborted. Among unintended pregnancies in the United States, 60% of the women used birth control to some extent during the month pregnancy occurred."
1832,Smoking cessation,"Local boards or local boards of health were local authorities in urban areas of England and Wales from 1848 to 1894. They were formed in response to cholera epidemics and were given powers to control sewers, clean the streets, regulate environmental health risks including slaughterhouses and ensure the proper supply of water to their districts. Local boards were eventually merged with the corporations of municipal boroughs in 1873, or became urban districts in 1894."
1833,Economists,"Lymphatic filariasis is a human disease caused by parasitic worms known as filarial worms. Most cases of the disease have no symptoms. Some people, however, develop a syndrome called elephantiasis, which is marked by severe swelling in the arms, legs, breasts, or genitals. The skin may become thicker as well, and the condition may become painful. The changes to the body have the potential to harm the person's social and economic situation.The worms are spread by the bites of infected mosquitoes. Three types of worms are known to cause the disease: Wuchereria bancrofti, Brugia malayi, and Brugia timori, with Wuchereria bancrofti being the most common. These worms damage the lymphatic system. The disease is diagnosed by microscopic examination of blood collected during the night. The blood is typically examined as a smear after being stained with Giemsa stain. Testing the blood for antibodies against the disease may also permit diagnosis. Other roundworms from the same family are responsible for river blindness.Prevention can be achieved by treating entire groups in which the disease exists, known as mass deworming. This is done every year for about six years, in an effort to rid a population of the disease entirely. Medications used include antiparasitics such as albendazole with ivermectin, or albendazole with diethylcarbamazine. The medications do not kill the adult worms but prevent further spread of the disease until the worms die on their own. Efforts to prevent mosquito bites are also recommended, including reducing the number of mosquitoes and promoting the use of bed nets.In 2015 about 38.5 million people were infected. About 950 million people are at risk of the disease in 54 countries. It is most common in tropical Africa and Asia. Lymphatic filariasis is classified as a neglected tropical disease and one of the four main worm infections. The impact of the disease results in economic losses of billions of dollars a year."
